ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
AGG;2025;2;193906331896.0;82277334566.0;109365518876.0;-15654609812.0;2232145753429.0;2523291825292.0;6312750819169.0;;3226646976842.0;271218000000.0;;;604746717421.0;1422252642199.0;0
AGG;2025;3;170367839185.0;109034939697.0;140526090478.0;-13792878395.0;1956591029732.0;2121661455336.0;6011618564807.0;;3335679775551.0;264718000000.0;;;522793528285.0;1531248662793.0;0
AGG;2025;4;273042314718.0;179279430496.0;85203310343.0;-14339882396.0;1610367769615.0;1591376546864.0;5476945005978.0;;3514997616198.0;192741700000.0;;;347822703790.0;1710580648549.0;0
AGG;2026;1;67263896896.0;5013433215.0;7792500330.0;-14886886397.0;1403149172740.0;1697970253807.0;5396579440417.0;;3519997092072.0;0.0;;;328721559702.0;1715595750865.0;0
DXS;2025;2;965086927800.0;316279889943.0;335385764103.0;-99537968701.0;14944870053540.0;6195228694617.0;15701135035472.0;;8671433931502.0;775504339338.0;;;4631038280383.0;439657297317.0;0
DXS;2025;3;864110795720.0;98644947342.0;144759062626.0;-103111704692.0;16270632587953.0;7290215757649.0;16958454996243.0;;8659360601238.0;906803051595.0;;;4819205290505.0;506198010365.0;0
DXS;2025;4;1597073777427.0;40243874512.0;48913247776.0;-108336268249.0;16217514428452.0;7063043312742.0;16918310769586.0;;8807395921725.0;946419414421.0;;;5113028727140.0;503424672112.0;0
DXS;2026;1;1415716957945.0;290567384729.0;323684448637.0;-111860674196.0;15886127658716.0;6385480890284.0;16536780878260.0;;9125088669040.0;994027406012.0;;;5144513316082.0;709656399419.0;0
TLH;2025;2;1880385437997.0;5316170810.0;4652056167.0;-218184615040.0;2713982037758.0;1876437391759.0;3168284899177.0;;1266441685698.0;0.0;;;2044777241097.0;-14904399782.0;0
TLH;2025;3;1188889533378.0;7536008205.0;7353724707.0;-239979345610.0;2290723493681.0;1440045824917.0;2739425340540.0;;1273977693903.0;0.0;;;1705040696734.0;-8277036061.0;0
TLH;2025;4;959429914498.0;-10126475540.0;-9965149589.0;-245768106055.0;2376975572390.0;1559225661694.0;2848024440425.0;;1263780502866.0;0.0;;;1814973913799.0;-17671214047.0;1
TLH;2026;1;1032465521519.0;6416652418.0;5287343505.0;-250969680130.0;2178367066450.0;1327827781979.0;2623169691168.0;;1270197155284.0;0.0;;;1636117052181.0;-11446000776.0;0
SMC;2025;2;1950841459286.0;-81165384315.0;-169091970146.0;-641435991480.0;2649305535225.0;3621003575645.0;4569561556386.0;;728805432458.0;177824595411.0;;;549899456393.0;-241941157689.0;1
SMC;2025;3;1571234810572.0;-77833022528.0;-81570110626.0;-652179526704.0;2478067165221.0;3500387427702.0;4371272482951.0;;650972409926.0;177968368892.0;;;615944749312.0;-318082376187.0;1
SMC;2025;4;1641461929919.0;356425721129.0;165785465876.0;-398611898348.0;2692183784828.0;3379978468011.0;4453709875512.0;;1007398131055.0;35857957129.0;;;411191502074.0;40491849938.0;0
SMC;2026;1;1072535760834.0;17213039278.0;-42859587000.0;-358794324181.0;1953553389025.0;3158730051232.0;4247862342740.0;;1024611170333.0;35814091928.0;;;573050876428.0;59065812462.0;0
POM;2025;2;461747869015.0;-170328860203.0;-104497422288.0;-4059805140952.0;2163474982171.0;8783125455140.0;9497987475405.0;;-4086768105.0;718948788370.0;;;453339400398.0;-2868348252525.0;1
POM;2025;3;202909544885.0;-182713537156.0;-199735355595.0;-4098937211998.0;1730642903960.0;8507619008566.0;9032498513134.0;;-186855484863.0;711734989431.0;;;403426030007.0;-3050887798264.0;1
POM;2025;4;512686007165.0;-324041766323.0;-219908039312.0;-4137001392923.0;2002088956678.0;9480377060700.0;8859901518999.0;;-630742417321.0;10266875620.0;;;384972797882.0;-3492403056463.0;1
POM;2026;1;465978659441.0;-179023582496.0;-136675160695.0;-4176299897768.0;3105904803239.0;10283362444687.0;10201488982635.0;;-800812250422.0;718938788370.0;;;749276314727.0;-3661701607485.0;1
VGS;2025;2;2120252851233.0;34852219191.0;40178249738.0;-386776266260.0;1561959801414.0;1207669301901.0;2573877945372.0;;1160393804685.0;201800000000.0;;;506269596634.0;415041819995.0;0
VGS;2025;3;1767211684177.0;63765106323.0;74511495500.0;-389849294318.0;1368245697672.0;972703618305.0;2404803032641.0;;1224158911008.0;0.0;;;561804151179.0;422880136395.0;0
VGS;2025;4;1644335086068.0;77462684236.0;89172314528.0;-391107773035.0;1238928268728.0;825601310148.0;2329393901954.0;;1295742236472.0;0.0;;;531443280452.0;491156908347.0;0
