ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
CMG;2025;4;2563140708555.0;165837397039.0;195369346766.0;-2304767765816.0;5728658926443.0;3622611915842.0;10048216349475.0;6056743495172.0;3991472854303.0;2364446213611.0;240791247426.0;473872831166.0;277749207375.0;677986290258.0;0
CMG;2026;1;2367469466645.0;108181675894.0;126276320741.0;-2407414806700.0;5877010961049.0;4007820317944.0;10485082682318.0;6388749547226.0;4096333135092.0;2311956231625.0;343892296952.0;574275144910.0;221434407552.0;549064945188.0;0
CSM;2025;2;1105999265657.0;15519681655.0;24244413173.0;-2639989516821.0;2543376733279.0;1963760015475.0;3368788848948.0;2012224085149.0;1356564763799.0;30742020690.0;100812484129.0;331196953376.0;959663697237.0;86716790967.0;0
CSM;2025;3;1027735841125.0;26602495738.0;30902484477.0;-2693429458561.0;3038906521761.0;2417531899371.0;3850455434503.0;2467288174966.0;1383167259537.0;37833859095.0;-247670506787.0;563667640480.0;1135190599966.0;113319286705.0;0
CSM;2025;4;987860466134.0;-18998526466.0;177730598.0;-2708162997917.0;2964981655150.0;2392267277713.0;3822349117432.0;2458180384361.0;1364168733071.0;53990690148.0;316079484797.0;575049073746.0;1323307659200.0;94320760239.0;1
CSM;2026;1;1105281530639.0;26021367695.0;28500153933.0;-2736041073121.0;2832634914254.0;2201162216540.0;3696469361646.0;2306279260878.0;1390190100768.0;93194627838.0;-182601534481.0;242529264872.0;1298133480682.0;120342127936.0;0
CSV;2025;2;523585483782.0;71824335654.0;90507096870.0;-1086303530891.0;1688726443571.0;527697992377.0;2068717664247.0;527697992377.0;1541019671870.0;0.0;72839781026.0;131038734188.0;486820906070.0;247720253551.0;0
CSV;2025;3;510068262517.0;60065383211.0;76768080748.0;-1086766017261.0;1730036564933.0;536537948787.0;2137621330868.0;536537948787.0;1601083382081.0;0.0;-115063115912.0;104701206831.0;493266154175.0;305468737164.0;0
CSV;2025;4;644015397847.0;41436124822.0;51877379327.0;-1092834000750.0;1678566437240.0;421333701407.0;2058704288231.0;437085321328.0;1621618966903.0;0.0;78150569494.0;91717440019.0;484719703087.0;320737909097.0;0
CSV;2026;1;628310844674.0;45148856944.0;56892069914.0;-1097893750986.0;1734110160493.0;437220215965.0;2118988039812.0;452220215965.0;1666767823847.0;0.0;-92223829720.0;49972981891.0;475021771503.0;363623953670.0;0
CTD;2025;2;8237210109012.0;201542124323.0;230171396928.0;-910523061737.0;27963158562687.0;20683693565533.0;29701487775326.0;20736323013125.0;8965164762201.0;2826000000.0;562442528972.0;2712312888753.0;5964211881956.0;1054140173404.0;0
CTD;2025;3;7451776029867.0;294818204842.0;193621108641.0;-929727725893.0;29286881128042.0;21864948944318.0;31177700859982.0;21916936485914.0;9260764374068.0;0.0;-838059662860.0;1607734034286.0;6890146439801.0;1348947708422.0;0
CTD;2025;4;10007247475921.0;227850003196.0;283949227368.0;-952175340515.0;32364954148144.0;24847828148040.0;34442241560979.0;25056904455426.0;9385337105553.0;179917904443.0;815575130028.0;1846994307634.0;7569293421681.0;1475361043073.0;0
CTD;2026;1;6409416446902.0;118931756167.0;150312978591.0;-971142594028.0;32611007333985.0;23593385917051.0;34686855766741.0;25184450686325.0;9502405080416.0;1563304479483.0;-1733187917031.0;1439407116252.0;9067240329871.0;1594288658018.0;0
DBT;2025;2;243175119984.0;8397895863.0;11563544559.0;-96374367615.0;742536051079.0;663171139864.0;985538119315.0;689840955232.0;295697164083.0;22132594449.0;-3157837501.0;12396431681.0;428702514326.0;55846027358.0;0
DBT;2025;3;176992960512.0;594441176.0;575579449.0;-98669510435.0;734132088389.0;652642457355.0;972308327944.0;676341774598.0;295966553346.0;19277573777.0;-10283047792.0;5898217706.0;450080399291.0;41733335645.0;0
DBT;2025;4;278913965821.0;3364433782.0;-6705340550.0;-99728813985.0;758926018796.0;680020361153.0;990043959473.0;699251262393.0;290792697080.0;14924635228.0;40122045926.0;20850946899.0;424850716250.0;38122895577.0;0
