current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,long_term_debt_to_equity,cfo_to_debt,ebit_to_long_term_debt,asset_turnover,inventory_turnover,net_profit_margin,roa,retained_earnings_to_assets,is_retail,current_ratio_roll4q_mean,current_ratio_qoq_change,debt_to_equity_roll4q_mean,debt_to_equity_qoq_change,cfo_to_debt_roll4q_mean,cfo_to_debt_qoq_change,net_profit_margin_roll4q_mean,net_profit_margin_qoq_change,roa_roll4q_mean,roa_qoq_change,asset_turnover_roll4q_mean,asset_turnover_qoq_change,label_distress
-0.39018984676946933,-0.16527410918842247,1.1751530482409627,0.05922898208052008,0.04936693303943794,0.05655689929714155,0.12009653275150814,-0.183101001636268,-0.1249777889534307,-0.149854230564614,-0.22370601209768823,-0.10523337656292013,-0.5379054259163499,-0.24077170617153837,-0.20003829083855496,-0.11827806740821975,0.095770304194992,0.09544026444324319,-0.09228301606121105,-0.05366936689089332,-0.22209665855210353,-0.06967953752806803,-0.14425453946794473,-0.08127946963390258,-0.10144217564902114,-0.10232591178385496,0
-0.4053704523496383,-0.10120789590397498,1.2767347369201958,0.05888907144111302,-0.011644350541240377,0.055759676091823994,0.26460951986064174,-0.18874871737360455,-0.10632486456750755,-0.006935679050252756,-0.2782956734081186,-0.3673501759674407,-0.5278201362464922,-0.24077170617153837,-0.3814351814213642,-0.36226940109356853,0.09647685925012404,-0.06350278283708265,0.2887072971828783,0.024417166906221918,-0.29463189294335534,-0.08434510876119015,-0.2736455428710928,-0.09738737769279515,-0.10225226185761008,-0.08002216657393173,0
-0.42434799819025376,-0.1976744802515624,1.0056638287169126,0.05952443462283421,0.10023837765337627,0.05717462769356142,0.23445947855665764,-0.19382951332634588,-0.2286157685788307,-0.15278039719857123,-0.3312509016853136,-0.6746083824660549,-0.49253055186795586,-0.24077170617153837,-0.39229242188630437,-0.3862739227160168,0.09671004614787063,0.6373964931531708,0.31116817120420964,-0.006559739530636406,-0.3345163545461108,-0.0907919607779758,-0.4866389194748858,-0.10881136121925945,-0.1465920500284451,-0.16254480062769258,0
-0.43088065310887863,-0.16802015760231168,0.8060703741145842,0.05927355623720086,0.05716722386020383,0.05668955119252692,-0.08240862205062795,-0.18645054041444065,-0.22345251697843937,-0.07861357359142081,-0.2349442220775933,-0.23962173578324852,-0.4043232103616269,-0.24077170617153837,-0.39972327251137846,-0.3124814787494645,0.09673236494450037,0.0049516532962622884,0.19562823024352263,-0.04742218690135335,-0.3185601064304373,0.0027526419785481714,-0.43460418321320077,0.002331634749617532,-0.16724196925352874,-0.08768951863246541,0
-0.8016731348327866,-0.8238951497152741,-0.9400208778983743,0.05831688334479334,-0.12085651345340268,0.047287696009849514,-0.26102272100907886,-0.1609990465371477,-0.9536789145462466,-0.5155809459419171,0.5197428629303991,-0.20974812734566958,1.007489848574418,-0.24077170617153837,-0.20003829083855496,-0.11827806740821975,0.095770304194992,0.09544026444324319,-0.09228301606121105,-0.05366936689089332,-0.22209665855210353,-0.06967953752806803,-0.14425453946794473,-0.08127946963390258,-0.10144217564902114,-0.10232591178385496,0
-0.7731663494881541,-0.7809261172384604,-0.9612933041094699,0.057182372361384,-0.36527449083784425,0.04683161542429654,-2.7462819066191395,-0.14683534520087232,-0.9660470720425871,-0.5146320002818079,0.9832106278537684,0.07879933177922362,1.249272900448392,-0.24077170617153837,-0.859126560614307,-0.001224915668900535,0.0945086844890737,-0.7211153097986446,-2.425396616671616,8.064536784377779,1.2000690233139313,-0.046347586020665486,-0.02462711844384393,-0.060692975900005684,-1.0963394063499723,-0.1366399404699413,0
-0.7050975745014054,-0.6171034280120328,-0.7712417027931107,0.0553870854787742,-0.8509119161807901,0.04444974976805943,2.6708737425984577,-0.1566903298387967,-0.8541009018052549,-0.431473604105427,1.0188862547796247,0.9039933470122148,1.7227789156024276,-0.24077170617153837,-0.8254847109375221,0.34907090557256737,0.09332496162570623,-1.5146593971381006,-0.19857628771478425,-0.14789834513854858,1.3329721569846733,-0.06836157860335751,0.44647118253591184,-0.03913140806349752,-1.05482662004617,0.3554237192785005,0
-0.8458567527045382,-0.8408645121434711,-0.8923254575905436,0.05520285629014732,-0.9094943654443184,0.03912436469231415,-0.46574003509034484,-0.19006682042001088,-1.0486570816451868,-0.5365945462813975,-0.23188209611761548,-0.8940794768226914,1.7686461115406478,-0.24077170617153837,-0.8518058635771162,-1.4443422354760658,0.09266387086345634,-0.07516518467805121,-0.3400406700452608,-0.07499208926664355,0.9331976898866716,-0.11000243793929479,0.026710455342418747,-0.13183519563200158,-1.091344310198069,-0.5322920067185647,0
-0.26643112410748643,-0.743988504541937,-0.8423334878724724,0.0555399922604025,-0.8037008851977931,0.04145433198938702,0.4042731306094799,0.3173278960315574,0.6307509535719988,-0.3775703245384334,0.022247863649404974,2.707076440687359,0.11483289550299589,-0.24077170617153837,-0.20003829083855496,-0.11827806740821975,0.095770304194992,0.09544026444324319,-0.09228301606121105,-0.05366936689089332,-0.22209665855210353,-0.06967953752806803,-0.14425453946794473,-0.08127946963390258,-0.10144217564902114,-0.10232591178385496,0
-0.20704183004875878,-0.43965738664611087,-0.6593260344111619,0.05562578828304207,-0.777751180033174,0.041270101515230244,1.0942804041389576,0.28179698739996734,0.7340174901339737,-0.3313411853926338,-0.08791116291917213,1.8943669818063285,0.4411015848538843,-0.24077170617153837,-0.18399843351688425,0.04191260013771863,0.09125183266470148,0.28568436390423335,1.1799479493169236,0.06943471866751111,0.030659860916237184,-0.08168036124898749,3.4248253447245385,-0.09273747097718596,0.8374609773370587,-0.05629591815302302,0
