ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
HPG;2025;4;46176484549771.0;3888349733267.0;4567440888267.0;2882676563353.0;103659402759724.0;94186268324508.0;257899200817547.0;126679189940972.0;131220010876575.0;27479194057074.0;8564297977440.0;8300890304205.0;52828227344442.0;51037901749343.0;0
HPG;2026;1;52900847302653.0;9055918200023.0;10704033503572.0;2854213903270.0;104365180994071.0;86369839061570.0;259327500205228.0;119545707998756.0;139781792206472.0;27817253418546.0;6816755450021.0;11455231038505.0;43515585272210.0;59889614145579.0;0
HVN;2025;2;27999770444499.0;2956164225179.0;3026519899741.0;1225040209630.0;21761128224998.0;56051043084009.0;62333774592733.0;65432508574488.0;-3098733981755.0;4928577238678.0;2157510836954.0;6835526689570.0;3580575773856.0;-27389146666549.0;1
HVN;2025;3;30371020357312.0;732246313524.0;823687217682.0;1206684993428.0;32683906687318.0;56747612493697.0;73737176988890.0;67367836836166.0;6369340152724.0;4567184141497.0;4801078877740.0;16303940813548.0;3037547854494.0;-27013187457963.0;0
HVN;2025;4;32285117933283.0;432893888113.0;477874241081.0;1193824056829.0;32050584150286.0;56433407840658.0;73174881280887.0;66445216324312.0;6729664956575.0;3725108049774.0;2983025869337.0;9895757265015.0;3795531249840.0;-26685826774100.0;0
HVN;2026;1;36882751087437.0;4514536071155.0;4531972329985.0;1171708568108.0;35730653762336.0;57946126250914.0;79063570319927.0;67831397875139.0;11232172444788.0;3209021362731.0;5398939755473.0;9949763562420.0;3812004598277.0;-22303632912205.0;0
KDH;2025;2;1049326533000.0;196276357000.0;242596607000.0;3226547000.0;29318561512000.0;3515554125000.0;31254518576000.0;11546172727000.0;19708345849000.0;6916795631000.0;-1265721035000.0;2460274084000.0;23007410442000.0;3882061411000.0;0
KDH;2025;3;1098244194000.0;525903525000.0;658770261000.0;3694654000.0;30594374778000.0;3380942744000.0;33080867528000.0;12703074873000.0;20377792655000.0;8232952546000.0;-712761224000.0;2378235792000.0;23086435547000.0;3106703024000.0;0
KDH;2025;4;1793648861000.0;785790345000.0;957650788000.0;2860475000.0;31619143989000.0;3515423431000.0;34074020087000.0;12909740367000.0;21164279720000.0;8347586360000.0;1270381506000.0;2544284739000.0;23260015942000.0;3595429609000.0;0
KDH;2026;1;281361228000.0;327045031000.0;76513759000.0;3787811000.0;37310715130000.0;3394096620000.0;39861897315000.0;18337716752000.0;21524180563000.0;13395790342000.0;-633698923000.0;3613808683000.0;29125945475000.0;3876815060000.0;0
MSN;2025;2;18315140000000.0;1619376000000.0;1624535000000.0;848014000000.0;32650920000000.0;36915519000000.0;123466559000000.0;81823900000000.0;41642659000000.0;39144065000000.0;1346737000000.0;10552742000000.0;10282782000000.0;11557573000000.0;0
MSN;2025;3;21163826000000.0;1865752000000.0;2135503000000.0;841042000000.0;32214095000000.0;37637809000000.0;121351209000000.0;78378057000000.0;42973152000000.0;37009316000000.0;1253779000000.0;13266315000000.0;10307815000000.0;12708809000000.0;0
MSN;2025;4;23245825000000.0;2295343000000.0;2642686000000.0;859742000000.0;36234495000000.0;40257475000000.0;128963171000000.0;83884527000000.0;45078644000000.0;40546194000000.0;-1155039000000.0;12101850000000.0;11262216000000.0;14355609000000.0;0
MSN;2026;1;24019754000000.0;1973577000000.0;2318740000000.0;929330000000.0;31419317000000.0;41645707000000.0;130717940000000.0;84455333000000.0;46262607000000.0;39839621000000.0;3473727000000.0;7081065000000.0;11329909000000.0;15601403000000.0;0
MWG;2025;2;37619968659970.0;1657529120910.0;2041250769970.0;489299387395.0;75933600138863.0;50985234350916.0;81001399247768.0;50985234350916.0;30016164896852.0;0.0;1442670180462.0;6030067748439.0;23691724133318.0;14297771841487.0;0
MWG;2025;3;39852507152646.0;1783665633985.0;2190441447033.0;459321401160.0;75125383121673.0;48491298270189.0;80288497892066.0;48491298270189.0;31797199621877.0;0.0;2775816846232.0;5510816169528.0;24101279307428.0;16068670758791.0;0
MWG;2025;4;42320711388542.0;2083594362304.0;2492183508086.0;433341853327.0;77201650782966.0;50769502237457.0;83945619612034.0;50769502237457.0;33176117374577.0;0.0;-611871679908.0;4999925717187.0;27266851974258.0;18068194576159.0;0
MWG;2026;1;46461952026773.0;2757557020527.0;3347123417867.0;393929975265.0;76834611871316.0;48061216417223.0;83994558472327.0;48061216417223.0;35933342055104.0;0.0;1193254573697.0;4553652582201.0;27600707843304.0;20782625319265.0;0
